word,related fact
aau,"In 1996, the AAU relocated its national headquarters to Walt Disney World in Lake Buena Vista, Florida."
aau,"The philosophy of the AAU is ""Sports for All, Forever."""
aau,"For the second New York City Marathon in 1971 the AAU allowed women to participate if they started the race 10 minutes before, or 10 minutes after the men, or if they ran a separate but equal course."
aau,The AAU now continues as a voluntary organization largely promoting youth sports.
aau,"Four colleges won the AAU tournament championship: Utah (1916), NYU (1920), Butler (1924) and Washburn (1925)."
aau,The AAU has 33 national committees to organize its activities in particular sports.
aau,"Then in 2016, the AAU was sued for allowing Rick Butler, a youth volleyball coach accused of sexually abusing his players in the past, to coach an under-18 team in the AAU Girls' Junior National Volleyball Championships."
aau,The AAU offers sport programming for individuals and teams in the following sports:[32] The AAU Cares program was established in 2016 as the AAU's way of giving back to the community.
aau,"In the early 1970s, the AAU became the subject of criticism, notably by outspoken track star Steve Prefontaine, over the living conditions for amateur athletes under the AAU, as well as rules that were perceived to be arbitrary."
aau,"Bryant, who moved to Italy at age six because of his father playing basketball there, stated that the AAU has been ""treating (amateur basketball players) like cash cows for everyone to profit off of""."
aau,"In 1922, the Metropolitan AAU in New York City approved a larger program of sanctioned events for women but still barred them from running events over one-half mile because they were considered too strenuous."
aau,"In 1994, the AAU joined forces with the Walt Disney World Resort, signing a 30-year agreement."
aau,"Programs offered by the AAU include: AAU Sports Program, AAU Junior Olympic Games, AAU James E. Sullivan Memorial Award and the AAU Complete Athlete Program."
aau,"The AAU is divided into 56 distinct district associations, which annually sanction 34 sports programs, 250 national championships, and over 30,000 age division events."
aau,During its early years the AAU served as a leader in international sport representing the United States in the international sports federations.
aau,"Other AAU Cares events were held in conjunction with the AAU Girls' Junior National Volleyball Championships in 2016 and 2017 respectively where the AAU teamed up with Feeding Children Everywhere to pack a total of 120,000 meals in total for hungry children."
aau,More than 40 AAU national events are conducted at WWoS.
aau,"Masters Track and Field officially began in 1968,[37] and in 1971 became a separate group within the AAU organization."
aau,"[citation needed] After the Amateur Sports Act of 1978 broke up the AAU's responsibility as the national Olympic sports governing body, the AAU focused on providing sports programs for all participants of all ages beginning at the local and regional levels."
aau,The Amateur Sports Act of 1978 was precipitated by grumblings of the inefficiency of the AAU to manage the multitude of sports at the Olympic level.
aau,"Prior to 1936, ice hockey in North America was governed by the AAU and the Amateur Athletic Union of Canada."
aau,AAU basketball programs have since steadily grown in Canada.
aau,The first women's AAU All-America team was chosen in 1929.
aau,"A multi-sport organization, the AAU is dedicated exclusively to the promotion and development of amateur sports and physical fitness programs."
aau,"In 2015, Kobe Bryant strongly criticized the AAU, describing it as ""Horrible, terrible AAU basketball."
aau,"From its founding as a publicly supported organization, the AAU has represented U.S. sports within the various international sports federations."
aau,"With the assistance of New York State Senator Kevin Parker, bicycles were assembled by the AAU Board of Directors and presented to under-served New York City area youth."
aau,"The AAU formerly worked closely with what is now today the United States Olympic & Paralympic Committee to prepare U.S. athletes for both the Summer and Winter Olympic Games, helping in the qualification of athletes to form the national team."
aau,The AAU held women's basketball tournaments from 1926 through 1970.
aau,AAU operates under a 501(c)(3) tax-exemption letter granted by the federal government in 1996.
aau,The first event was held in conjunction with the 86th AAU James E. Sullivan Award.
aau,"But by 1923 the AAU allowed women to compete in most sports, including basketball."
aau,"Since then, most national championships for youth athletes in the United States have taken place under AAU leadership."
aau,AAU Hockey sponsors national tournaments[35] for minor hockey levels.
aau,The AAU was co-founded in 1888 by William Buckingham Curtis to establish standards and uniformity in amateur sports.
aau,"Just two years later in 1916, AAU was considering discontinuing their experiment in allowing women at swimming events."
aau,[citation needed] The open USA Outdoor Track and Field Championships were organized by the AAU between 1888 and 1978 [3] [4].
aau,"The AAU then issued an ultimatum to the Eastern Amateur Hockey League (EAHL) in August 1937, not to have any Canadian-born players in its league."
aau,"From Canada, CIA Bounce joined AAU league basketball in 2010."
aau,"Kerr also states that ""The process of growing as a team basketball player — learning how to become part of a whole, how to fit into something bigger than oneself — becomes completely lost within the AAU fabric""."
aau,"Despite the decision by the IIHF, the AAU sent its own team to compete in ice hockey at the 1948 Winter Olympics."
aau,"As part of this, the AAU Junior Olympic Games were introduced in 1949, with athletes aged 8 to 16 years, or older in certain sports, being able to participate."
aau,"EAHL president Tommy Lockhart chose to break away from the AAU and reached an agreement with the CAHA,[15] then founded the Amateur Hockey Association of the United States (AHAUS) to govern ice hockey."
aau,"As a result, the AAU lost its influence and importance in international sports, and focused on the support and promotion of predominantly youthful athletes, as well as on the organization of national sports events."
aau,"The AAU was founded on January 21, 1888, by James E. Sullivan and William Buckingham Curtis with the goal of creating common standards in amateur sport."
aau,"The AAU events have over 500,000 participants and over 50,000 volunteers."
aau,"After the Canadian Amateur Hockey Association (CAHA) split ways with its national union, the AAU terminated its working agreement with the CAHA which had allowed for transferring of players and exhibition games between the two countries."
aau,The AAU worked closely with the Olympic movement to prepare athletes for the Olympic Games.
aau,"In 1970, the first New York City Marathon ignored the AAU rules and allowed women in the event even if it meant that their scores would not be official."
aau,"The AAU was supported by the United States Olympic Committee led by Avery Brundage, who threatened a United States boycott the Olympics if an AHAUS team was recognized instead of an AAU team."
aau,The AAU headquarters is located within the former Walt Disney World Preview Center.
aau,In 1923 the AAU sponsored the First American Track & Field championships for women.
aau,"In the 1970s, the AAU received growing criticism."
hinkle,"The movie's final game was filmed in the same gymnasium that hosted the 1954 Indiana state championship game, Butler University's Hinkle Fieldhouse (called Butler Fieldhouse in 1954) in Indianapolis."
hinkle,"Hinkle coached 41 seasons of basketball at Butler, ending in 1970, and remained with Butler University until his death in 1992."
hinkle,"Hinkle was born in Logansport, Indiana, to Edgar Clayton and Winnie (Ray) Hinkle."
hinkle,Basketballs were generally brown until Hinkle introduced the orange basketball in the late 1950s.
hinkle,"Hinkle was inducted into the Naismith Memorial Basketball Hall of Fame in 1965, the Indiana Basketball Hall of Fame in 1964, and the Indiana Football Hall of Fame in 1974."
hinkle,Hinkle was inducted into the Naismith Memorial Basketball Hall of Fame as a contributor in 1965.
hinkle,Hinkle joined Butler University in 1921 when they were still at the Irvington campus; the university bought Fairview Park in 1922 and moved the campus there in 1928.
hinkle,It was renamed as Hinkle Fieldhouse in 1966.
hinkle,"Hinkle was president of the National Association of Basketball Coaches from 1954 to 1955, and served on their board."
hinkle,"After graduating from the University of Chicago, Hinkle moved on to Butler University as a coach."
hinkle,"Hinkle captained the Chicago Maroons basketball team for two seasons was twice selected as an All-American, in 1919 and 1920."
hinkle,"Hinkle's legacy is remembered on the Butler campus with Hinkle Fieldhouse, longtime site of Indiana's state high school championships and featured in the film Hoosiers."
hinkle,"On August 12, 2022, the NCAA announced that the final rounds of the 2023 NIT would be held at Orleans Arena in Las Vegas and hosted by nearby UNLV, and the 2024 site would be Butler University's Hinkle Fieldhouse in Indianapolis."
hinkle,"During filming in the autumn of 1985, on location at Hinkle Fieldhouse, directors were unable to secure enough extras for shooting the final scenes even after casting calls through the Indianapolis media."
hinkle,Butler's home basketball arena was renamed as Hinkle Fieldhouse in the coach's honor in 1966.
hinkle,"Paul D. ""Tony"" Hinkle (December 19, 1899 – September 22, 1992) was an American football, basketball, and baseball player, coach, and college athletic administrator."
hinkle,"Hinkle is buried alongside his wife, Jane Murdock Stewart Hinkle (1907–1959) at Crown Hill Cemetery in Indianapolis."
hinkle,"During that time, the Fever will play home games at the Butler Bulldogs' Hinkle Fieldhouse."
hinkle,"At Butler, Hinkle served as a teacher, coach and athletic administrator for nearly half a century."
hinkle,"Hinkle was instrumental in ending the rule providing for a jump ball after every basket, and in the introduction of the three-second rule."
duck,"51.194.39.214 (talk) 08:44, 8 October 2022 (UTC)Reply[reply] ccc Abababa42 2"" (talk) 01:42, 11 November 2022 (UTC)Reply[reply]
Duck on a rock is a medieval children’s game that combines tag and marksmanship (via throwing accuracy)."
duck,"[a] Gifted in farm labor, Naismith spent his days outside playing catch, hide-and-seek, or duck on a rock, a medieval game in which a person guards a large drake stone from opposing players, who try to knock it down by throwing smaller stones at it."
duck,"To play duck on a rock most effectively, Naismith soon found that a soft lobbing shot was far more effective than a straight hard throw, a thought that later proved essential for the invention of basketball."
duck,That did not prove satisfactory since few fans were willing to pay to watch lame duck contests.
duck,"Roosevelt's influence waned as he approached the end of his second term, as his promise to forego a third term made him a lame duck and his concentration of power provoked a backlash from many Congressmen."
duck,"This placement forced the players to score goals by throwing a soft, lobbing shot like that which had proven effective in his old favorite game duck on a rock."
duck,"Once the duck stone is knocked off, the throwers all rush to retrieve their stones while the guard replaces the stone and then attempts to tag them."
duck,"The Animal Science Teaching and Research Center in Harford, New York, and the Duck Research Laboratory in Eastport, New York are resources for information on animal disease control and husbandry."
duck,"Naismith's handwritten diaries, discovered by his granddaughter in early 2006, indicate that he was nervous about the new game he had invented, which incorporated rules from a children's game called duck on a rock, as many had failed before it."
kingston,It was incorporated as a town in 1838; the first mayor of Kingston was Thomas Kirkpatrick.
kingston,Kingston was the county seat of Frontenac County until 1998.
kingston,Megabus (Coach Canada) provides frequent service from the Kingston Bus Terminal to Toronto and Montreal.
kingston,Kingston is also home to the youth sail training ship called the St. Lawrence II.
kingston,"The Kingston Panthers R.F.C, recently celebrated their fortieth anniversary with an EORU championship in the Division 1 championship game at Twin Elm Rugby Park in Ottawa, Ontario."
kingston,"Kingston is nicknamed the ""Limestone City"" because of the many heritage buildings constructed using local limestone."
kingston,Comedian and actor Dan Aykroyd has a residence just north of Kingston and is a frequent face in town.
kingston,"Kingston also hosted the 10th Grey Cup on December 2, 1922."
kingston,"The KGH site held the remains of 1,400 Irish immigrants who had died in Kingston in fever sheds along the waterfront, during the typhus epidemic of 1847, while fleeing the Great Famine."
kingston,"The first sections of the highway in the Kingston area were opened in 1958, although it was not fully completed for another ten years."
kingston,"""[109] Kingston is also home to the oldest continuing hockey rivalry in the world by virtue of a game played in 1886 on the frozen Kingston harbour between Queen's University and the Royal Military College of Canada."
kingston,The Presbyterian Church was particularly influential in the 19th century development of Kingston post-secondary education.
kingston,"Major military facilities supported by CFB Kingston include Fort Frontenac, on the site of the original fort, and the Royal Military College of Canada."
kingston,The Kingston General Hospital is the oldest operating public hospital in Canada.
kingston,Electricity was not available in Kingston until 1888.
kingston,"Kingston is listed by a panel of experts among the best yacht racing venues in the US,[113] even though Kingston is in Canada."
kingston,The first more permanent encampments by Indigenous people in the Kingston area began about 500 AD.
kingston,"Most of the city is in Kingston and the Islands, created in 1966 from Kingston and parts of Hastings—Frontenac—Lennox and Addington and Prince Edward—Lennox."
kingston,"Seasonal ferry service from Cape Vincent, New York, via Wolfe Island, into downtown Kingston is an alternate route to and from the United States."
kingston,Support for this is found in a journal entry of a British Army officer in Kingston in 1843.
kingston,"In September 2013, after almost 180 years of housing prisoners, Kingston Penitentiary closed."
kingston,"Via Rail corridor service connects Kingston along the main line between Windsor, Ontario and Quebec City."
kingston,"The downtown area of Kingston is known as the central business district, and is the gathering place for various events including the Kingston Buskers Rendezvous, FebFest, the 1000 Islands Poker Run and The Limestone City Blues Festival."
kingston,"Kingston was named the first capital of the United Province of Canada on February 10, 1841."
kingston,A yellow door was used as a metaphor for Kingston – and the good times people have – and used street workers to gather potential tourists from nearby Toronto and Ottawa.
kingston,"Kingston grew moderately through the 20th century through a series of annexations of lands in adjacent Kingston Township, including a 1952 annexation of some 5,500 acres (22 km2)[22] which encompassed areas west to the Little Cataraqui Creek (including the village of Portsmouth), where a number of large residential subdivisions were built in the late 1950s and early '60s."
kingston,Regular ferry service operates between downtown Kingston and Wolfe Island.
kingston,"He won his first election to Kingston City Council in 1843, and would later represent the city for nearly 50 years at the national level, both before and after Confederation in 1867."
kingston,"Queen's University grew from about 2,000 students in the 1940s to its present size of over 28,000 students, more than 90 per cent of whom are from outside the Kingston area."
kingston,"The PWOR operates as a Primary Reserve Regiment, its members drawn from the Kingston and area community."
kingston,"Many notable football people, CFL, NFL players, coaches and personalities have been associated with Kingston including: The Kingston Volleyball Club (KVC) was founded in 2015."
kingston,"Kingston is home to many artists who work in visual arts, media arts, literature, and a growing number who work in other time-based disciplines such as performance art."
kingston,"The Kingston area has eight golf courses, two of which are entirely public."
kingston,"The campaigns mission statement promises, ""to promote downtown Kingston as the vibrant and healthy commercial, retail, residential, and entertainment centre of our region, attracting more people to live, shop, work and gather""."
kingston,"Writers who are or have been residents of Kingston include Steven Heighton, Bronwen Wallace, Helen Humphreys, Michael Ondaatje, Diane Schoemperlen, Michael Crummey, Mark Sinnett, Mary Alice Downie, Robertson Davies, Wayne Grady, Merilyn Simonds, Alec Ross, Jamie Swift and Carolyn Smart."
kingston,"Since 1972, Kingston has hosted more than 40[112] World and Olympic sailing championships."
kingston,"According to Statistics Canada, the tourism industry in Kingston represents a vital part of the city's economy."
kingston,Circle of Wellness[92] hosts Día de los Muertos Kingston Festival[90] which occurs annually on the first Sunday of November.
kingston,"A draft plan for the university was presented at a synod meeting in Kingston in 1839, with a modified bill introduced through the 13th Parliament of Upper Canada during a session in 1840."
kingston,"The goal of the campaign is to increase the consumer's exposure to Kingston tourism, while remaining financially reasonable."
kingston,The Kingston Junior Gaels (formerly the Kingston Clippers) Soccer Club represents the highest (but still amateur) level of soccer for both men and women in the city.
kingston,Both Hotel Dieu and Kingston General Hospital (KGH) cared for victims of the typhus epidemic of 1847.
kingston,"Kingston is within the Mixedwood Plains Ecozone, and is dominated in the Kingston area by a mixture of deciduous and coniferous tree species and abundant water resources."
kingston,Shuttle Kingston was reported in 2013 to connect to Watertown and Syracuse.
kingston,"Kingston Penitentiary, Canada's first large federal penitentiary, was established in 1835 and operated until 2013."
kingston,"Kingston is known for its historic properties, as reflected in the city's motto of ""where history and innovation thrive""."
kingston,Kingston is a regular stop on train services operating between Toronto and Ottawa and between Toronto and Montreal.
kingston,"At the time the French arrived in the Kingston area, Five Nations Iroquois (Haudenosaunee) had settled along the north shore of Lake Ontario."
kingston,"At the census metropolitan area (CMA) level in the 2021 census, the Kingston CMA had a population of 172,546 living in 73,506 of its 80,955 total private dwellings, a change of 7.1% from its 2016 population of 161,175."
kingston,"In the 2021 Census of Population conducted by Statistics Canada, Kingston had a population of 132,485 living in 57,836 of its 63,095 total private dwellings, a change of 7% from its 2016 population of 123,798."
kingston,Kingston is part of two federal ridings.
kingston,"In 1848, the Kingston Gas Light Company began operation."
kingston,"Kingston hosts several festivals during the year, including the Kingston WritersFest, Limestone City Blues Festival, the Kingston Canadian Film Festival, Artfest, the Kingston Buskers Rendezvous, Kingston Jazz Festival, the Reelout Queer Film Festival, Feb Fest, the Wolfe Island Music Festival, the Skeleton Park Arts Festival, Kingston Pride and Día de los Muertos Kingston Festival."
kingston,"Queen's operates the Miller Museum of Geology, an earth-science teaching museum which features an Earth Science and Geological Collections of 10,000 minerals and 865 fossils, as well as an exhibit of the geology of the Kingston area."
kingston,"Kingston lays claim to being the birthplace of ice hockey, though this is contested."
kingston,"In 2021, 65,490 Kingston residents, or about half of the population, were members of Christian groups; the largest were Roman Catholics, who numbered 30,385 (23.5%), the United Church of Canada (8,575 or 6.6%), and the Anglican Church of Canada (8,600 or 6.7%)."
kingston,"According to the Kingston Economic Development Corporation, the major employers in Kingston as of December 2014 were:[78] Highway 401 is the principal access route into Kingston and runs across the northern section of the urbanized portion of the city."
kingston,Secondary schools in Kingston: Kingston has the largest concentration of federal correctional facilities in Canada.
kingston,They considered leaving Kingston and merging with the University of Toronto as late as the 1880s.
kingston,"The coldest temperature ever recorded in Kingston was −35.6 °C (−32 °F) on February 17, 1896."
kingston,The Princess of Wales' Own Regiment has been a fixture in the City of Kingston since 1863.
kingston,"Kingston had a team in the Ontario Junior Hockey League (OJHL), the Kingston Voyageurs but ceased after the 2018-19 season."
kingston,"A military aerodrome, RCAF Station Kingston, was constructed to the west of Kingston to support flying training."
kingston,French explorer Samuel de Champlain visited the Kingston area in 1615.
kingston,Zal Yanovsky of The Lovin' Spoonful lived in Kingston until his death in 2002.
kingston,"The Kingston campus of St. Lawrence College was established in 1969, and the college has 6,700 full-time students."
kingston,"The Kingston Panthers Rugby Football Club (KPRFC) was founded in 1959, and from that moment onward has established a reputation as a strong community player."
kingston,Kingston is the largest municipality in southeastern Ontario and Ontario's 10th largest metropolitan area.
kingston,The Kingston Yacht Club in downtown Kingston has a learn to sail program for both children and adults.
kingston,"During the War of 1812, Kingston (with a population of 2,250)[31] was a major military centre."
kingston,The Limestone Grenadiers now represent Kingston and the surrounding area in the OVFL.
kingston,"The university's main campus is bordered to the south by Lake Ontario and Kingston General Hospital, city parks to the east, and by residential neighbourhoods, known as the University District, Kingston, in all other directions."
kingston,McNaughton Barracks and Vimy Barracks make up most of Canadian Forces Base Kingston (CFB Kingston).
kingston,"Three curling clubs are in the Kingston area: the Cataraqui Golf & Country Club, Garrison Golf & Curling Club, and the Royal Kingston Curling Club."
